use_id,crop,rate_value,rate_unit,rate_level,planting_method,workbook,product_identifier,region,target_pest,notes
"small_cereals|Millet, proso|mid|200.000|mg a.i./kg seed","Millet, proso",200,mg a.i./kg seed,mid,precision,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|low|100.000|mg a.i./kg seed","Millet, proso",100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|low|100.000|mg a.i./kg seed","Millet, proso",100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
"small_cereals|Millet, proso|low|100.000|mg a.i./kg seed","Millet, proso",100,mg a.i./kg seed,low,precision,small_cereals,VUI 3622323,NA,NA,seed_use_number=11; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|high|300.000|mg a.i./kg seed,Barley,300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|high|300.000|mg a.i./kg seed,Barley,300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|high|300.000|mg a.i./kg seed,Barley,300,mg a.i./kg seed,high,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|mid|200.000|mg a.i./kg seed,Barley,200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|mid|200.000|mg a.i./kg seed,Barley,200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|mid|200.000|mg a.i./kg seed,Barley,200,mg a.i./kg seed,mid,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|low|100.000|mg a.i./kg seed,Barley,100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|low|100.000|mg a.i./kg seed,Barley,100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Barley|low|100.000|mg a.i./kg seed,Barley,100,mg a.i./kg seed,low,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|high|300.000|mg a.i./kg seed,Rye,300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|high|300.000|mg a.i./kg seed,Rye,300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|high|300.000|mg a.i./kg seed,Rye,300,mg a.i./kg seed,high,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|mid|200.000|mg a.i./kg seed,Rye,200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|mid|200.000|mg a.i./kg seed,Rye,200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|mid|200.000|mg a.i./kg seed,Rye,200,mg a.i./kg seed,mid,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|low|100.000|mg a.i./kg seed,Rye,100,mg a.i./kg seed,low,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|low|100.000|mg a.i./kg seed,Rye,100,mg a.i./kg seed,low,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Rye|low|100.000|mg a.i./kg seed,Rye,100,mg a.i./kg seed,low,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals_msa|Triticale|high|300.000|mg a.i./kg seed,Triticale,300,mg a.i./kg seed,high,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
small_cereals_msa|Triticale|high|300.000|mg a.i./kg seed,Triticale,300,mg a.i./kg seed,high,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
small_cereals_msa|Triticale|high|300.000|mg a.i./kg seed,Triticale,300,mg a.i./kg seed,high,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
small_cereals_msa|Triticale|mid|200.000|mg a.i./kg seed,Triticale,200,mg a.i./kg seed,mid,broadcast,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
small_cereals_msa|Triticale|mid|200.000|mg a.i./kg seed,Triticale,200,mg a.i./kg seed,mid,drill_spring,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
small_cereals_msa|Triticale|mid|200.000|mg a.i./kg seed,Triticale,200,mg a.i./kg seed,mid,drill_fall,small_cereals_msa,VUI 3622323,NA,NA,seed_use_number=3; status=ASSESSMENT_DEFAULT
