crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
Rye,25.0,38.0,,,30.0,30.0,190.0,190.0,789473.6842105264,7600000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Sage,0.11,0.11,,,1.8,1.8,1.8,1.8,16363636.363636363,16363636.363636363,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
Sorghum,13.0,35.0,,,5.6,5.6,40.0,40.0,159999.99999999997,3076923.076923077,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Soybean,93.5,256.4,66667.0,642000.0,6.2333645,17.0934188,60.027,164.6088,66667.0,642000.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Spinach,2.9,2.9,,,12.0,12.0,12.0,12.0,4137931.034482759,4137931.034482759,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,FALSE,PMRA 2015,ASSESSMENT_DEFAULT
"Squash, summer",71.0,143.0,2222.0,64583.0,0.157762,0.317746,4.585393,9.235369,2222.0,64583.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Squash, winter",67.0,302.0,1455.0,53820.0,0.097485,0.43941,3.60594,16.25364,1455.0,53820.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Sugar beet,7.5,20.0,74132.0,247105.0,0.55599,1.4826400000000002,1.8532875,4.942099999999999,74132.0,247105.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Sunflower, confection-type",91.0,227.0,49000.0,56834.0,4.459,11.123,5.171894,12.901318000000002,49000.0,56834.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Sunflower, oilseed-type",50.0,91.0,52000.0,87000.0,2.6,4.732,4.35,7.917,52000.0,87000.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Tomato,1.7,4.5,5980.0,322917.0,0.010166,0.026910000000000003,0.5489588999999999,1.4531264999999998,5980.0,322917.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
Triticale,28.0,49.0,,,75.0,75.0,210.0,210.0,1530612.244897959,7500000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Wheat, winter (non-durum)",20.0,50.0,,5500000.0,30.0,30.0,110.0,275.0,600000.0,5500000.0,CONVERTED_FROM_MASS,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Wheat, Durum",40.0,50.0,,4800000.0,67.0,67.0,192.0,240.0,1340000.0,4800000.0,CONVERTED_FROM_MASS,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Wheat, spring (non-durum)",20.0,50.0,,5750000.0,67.0,67.0,115.0,287.5,1340000.0,5750000.0,CONVERTED_FROM_MASS,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
