workbook,seed_use_number,crop,rate_level,application_rate,application_rate_unit,source,status
legumes_deep,7.0,"Bean, coloured excluding kidney and cranberry , wide row/standard planting",mid,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,7.0,"Bean, coloured excluding kidney and cranberry , wide row/standard planting",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,8.0,"Bean, kidney and cranberry",high,0.076,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,8.0,"Bean, kidney and cranberry",low,0.045,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,9.0,"Bean, kidney and cranberry",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,9.0,"Bean, kidney and cranberry",mid,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,9.0,"Bean, kidney and cranberry",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,10.0,"Bean, lima",high,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,10.0,"Bean, lima",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,11.0,"Bean, navy/white and black, narrow row/solid seeding",high,0.076,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,11.0,"Bean, navy/white and black, narrow row/solid seeding",low,0.045,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,12.0,"Bean, navy/white and black, narrow row/solid seeding",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,12.0,"Bean, navy/white and black, narrow row/solid seeding",mid,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,12.0,"Bean, navy/white and black, narrow row/solid seeding",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,13.0,"Bean, navy/white and black, wide row/standard planting",high,0.076,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,13.0,"Bean, navy/white and black, wide row/standard planting",low,0.045,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,14.0,"Bean, navy/white and black, wide row/standard planting",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,14.0,"Bean, navy/white and black, wide row/standard planting",mid,500.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,14.0,"Bean, navy/white and black, wide row/standard planting",low,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
legumes_deep,15.0,"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",high,0.076,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,15.0,"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",low,0.045,mg a.i./seed,"CRUISER® 5FS Seed Treatment label, Reg. No. 27045",ASSESSMENT_DEFAULT
legumes_deep,16.0,"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",high,560.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
